Date,Start (ET),Visitor/Neutral,PTS,Home/Neutral,PTS,Attend.,Capacity,Attendence
"Sun, Nov 12, 2017",6:00p,Houston Rockets,118,Indiana Pacers,95,15581,17923,0.87
"Sun, Nov 12, 2017",7:00p,Dallas Mavericks,99,Oklahoma City Thunder,112,18203,18203,1.00
"Mon, Nov 13, 2017",10:30p,Orlando Magic,100,Golden State Warriors,110,19596,19596,1.00
"Mon, Nov 13, 2017",10:30p,Philadelphia 76ers,109,Los Angeles Clippers,105,19068,19430,0.98
"Mon, Nov 13, 2017",8:00p,Memphis Grizzlies,103,Milwaukee Bucks,110,13244,18717,0.71
"Mon, Nov 13, 2017",8:00p,Atlanta Hawks,105,New Orleans Pelicans,106,14631,18573,0.79
"Mon, Nov 13, 2017",7:30p,Cleveland Cavaliers,104,New York Knicks,101,19812,19812,1.00
"Mon, Nov 13, 2017",9:00p,Los Angeles Lakers,100,Phoenix Suns,93,17533,18055,0.97
"Mon, Nov 13, 2017",10:00p,Denver Nuggets,82,Portland Trail Blazers,99,18895,20186,0.94
"Mon, Nov 13, 2017",9:00p,Minnesota Timberwolves,109,Utah Jazz,98,17236,18306,0.94
"Mon, Nov 13, 2017",7:00p,Sacramento Kings,92,Washington Wizards,110,14660,20356,0.72
"Tue, Nov 14, 2017",7:30p,Boston Celtics,109,Brooklyn Nets,102,17732,17732,1.00
"Tue, Nov 14, 2017",8:30p,San Antonio Spurs,97,Dallas Mavericks,91,19535,20394,0.96
"Tue, Nov 14, 2017",8:00p,Toronto Raptors,129,Houston Rockets,113,18055,18476,0.98
"Wed, Nov 15, 2017",7:30p,Sacramento Kings,80,Atlanta Hawks,126,13860,16739,0.83
"Wed, Nov 15, 2017",8:00p,Cleveland Cavaliers,115,Charlotte Hornets,107,19427,19624,0.99
"Wed, Nov 15, 2017",10:30p,Philadelphia 76ers,115,Los Angeles Lakers,109,18997,18997,1.00
"Wed, Nov 15, 2017",8:00p,Indiana Pacers,116,Memphis Grizzlies,113,16033,18119,0.88
"Wed, Nov 15, 2017",7:30p,Washington Wizards,102,Miami Heat,93,19600,20093,0.98
"Wed, Nov 15, 2017",8:00p,Detroit Pistons,95,Milwaukee Bucks,99,14594,18717,0.78
"Wed, Nov 15, 2017",8:00p,San Antonio Spurs,86,Minnesota Timberwolves,98,18978,18978,1.00
"Wed, Nov 15, 2017",8:00p,Toronto Raptors,125,New Orleans Pelicans,116,15654,18573,0.84
"Wed, Nov 15, 2017",7:30p,Utah Jazz,101,New York Knicks,106,18695,19812,0.94
"Wed, Nov 15, 2017",8:00p,Chicago Bulls,79,Oklahoma City Thunder,92,18203,18203,1.00
"Wed, Nov 15, 2017",10:00p,Orlando Magic,94,Portland Trail Blazers,99,19206,20186,0.95
"Thu, Nov 16, 2017",8:00p,Golden State Warriors,88,Boston Celtics,92,18624,18624,1.00
"Thu, Nov 16, 2017",10:30p,Houston Rockets,142,Phoenix Suns,116,16875,18055,0.93
"Fri, Nov 17, 2017",7:30p,Utah Jazz,107,Brooklyn Nets,118,14495,17732,0.82
"Fri, Nov 17, 2017",8:00p,Charlotte Hornets,120,Chicago Bulls,123,20493,22983,0.89
"Fri, Nov 17, 2017",7:30p,Los Angeles Clippers,113,Cleveland Cavaliers,118,20562,20562,1.00
"Fri, Nov 17, 2017",8:30p,Minnesota Timberwolves,111,Dallas Mavericks,87,19459,20394,0.95
"Fri, Nov 17, 2017",10:30p,New Orleans Pelicans,114,Denver Nuggets,146,16816,20103,0.84
"Fri, Nov 17, 2017",7:00p,Detroit Pistons,100,Indiana Pacers,107,17188,17923,0.96
"Fri, Nov 17, 2017",10:30p,Phoenix Suns,122,Los Angeles Lakers,113,18997,18997,1.00
"Fri, Nov 17, 2017",10:00p,Portland Trail Blazers,82,Sacramento Kings,86,17583,17583,1.00
"Fri, Nov 17, 2017",8:00p,Oklahoma City Thunder,101,San Antonio Spurs,104,18418,18935,0.97
"Fri, Nov 17, 2017",7:30p,New York Knicks,84,Toronto Raptors,107,19800,20131,0.98
"Fri, Nov 17, 2017",7:00p,Miami Heat,91,Washington Wizards,88,17551,20356,0.86
"Sat, Nov 18, 2017",7:30p,Boston Celtics,110,Atlanta Hawks,99,16381,16739,0.98
"Sat, Nov 18, 2017",7:00p,Los Angeles Clippers,87,Charlotte Hornets,102,17640,19624,0.90
"Sat, Nov 18, 2017",9:00p,Milwaukee Bucks,79,Dallas Mavericks,111,19949,20394,0.98
"Sat, Nov 18, 2017",8:00p,Houston Rockets,105,Memphis Grizzlies,83,17266,18119,0.95
"Sat, Nov 18, 2017",7:00p,Utah Jazz,125,Orlando Magic,85,19157,19171,1.00
"Sat, Nov 18, 2017",7:30p,Golden State Warriors,124,Philadelphia 76ers,116,20848,20848,1.00
"Sat, Nov 18, 2017",10:00p,Sacramento Kings,90,Portland Trail Blazers,102,19522,20186,0.97
"Sun, Nov 19, 2017",6:00p,Golden State Warriors,118,Brooklyn Nets,111,17732,17732,1.00
"Sun, Nov 19, 2017",9:30p,Denver Nuggets,109,Los Angeles Lakers,127,18997,18997,1.00
"Sun, Nov 19, 2017",5:00p,Indiana Pacers,120,Miami Heat,95,19600,20093,0.98
"Sun, Nov 19, 2017",7:00p,Detroit Pistons,100,Minnesota Timberwolves,97,16069,18978,0.85
"Sun, Nov 19, 2017",8:00p,Chicago Bulls,105,Phoenix Suns,113,16264,18055,0.90
"Sun, Nov 19, 2017",3:30p,Washington Wizards,91,Toronto Raptors,100,19800,20131,0.98
"Mon, Nov 20, 2017",7:00p,Minnesota Timberwolves,102,Charlotte Hornets,118,15978,19624,0.81
"Mon, Nov 20, 2017",8:30p,Boston Celtics,110,Dallas Mavericks,102,20302,20394,1.00
"Mon, Nov 20, 2017",7:00p,Cleveland Cavaliers,116,Detroit Pistons,88,20491,20491,1.00
"Mon, Nov 20, 2017",8:00p,Portland Trail Blazers,100,Memphis Grizzlies,92,15785,18119,0.87
"Mon, Nov 20, 2017",8:00p,Washington Wizards,99,Milwaukee Bucks,88,16122,18717,0.86
"Mon, Nov 20, 2017",8:00p,Oklahoma City Thunder,107,New Orleans Pelicans,114,16765,18573,0.90
"Mon, Nov 20, 2017",7:30p,Los Angeles Clippers,85,New York Knicks,107,18848,19812,0.95
"Mon, Nov 20, 2017",7:00p,Indiana Pacers,105,Orlando Magic,97,17239,19171,0.90
"Mon, Nov 20, 2017",7:00p,Utah Jazz,86,Philadelphia 76ers,107,20587,20848,0.99
"Mon, Nov 20, 2017",10:00p,Denver Nuggets,114,Sacramento Kings,98,17583,17583,1.00
"Mon, Nov 20, 2017",8:30p,Atlanta Hawks,85,San Antonio Spurs,96,18418,18935,0.97
"Tue, Nov 21, 2017",10:30p,Chicago Bulls,94,Los Angeles Lakers,103,18997,18997,1.00
"Wed, Nov 22, 2017",7:30p,Los Angeles Clippers,116,Atlanta Hawks,103,12675,16739,0.76
"Wed, Nov 22, 2017",7:00p,Washington Wizards,124,Charlotte Hornets,129,16041,19624,0.82
